"","ac
        type","cn / ln","date","fatalities","flight #","ground","location","operator","registration","route","summary","time"
"3586","Cessna 177RG","177RG-0376","August 13, 1989","2   (passengers:1  crew:1)","?","0","Janice, Mississippi","Private","N1976Q","Hattiesburg, MS - Gulfport, MS","The aircraft was flying from Hattiesburg to Gulfport. The non-instrument rated pilot lost control of the aircraft after encountering instrument meteorological conditions resulting in the airplane spiraling into the ground in a wooded area.  U.S. Representative from Mississippi, Larkin Smith, 45, was killed.","2125"
"3587","Antonov AN-24RV","37309006","August 15, 1989","34   (passengers:28  crew:6)","?","0","Shanghai, China
, China","China Eastern Airlines","B-3417","Shanghai - Hongqiao","Lost power and crashed into a river shortly after taking off from Shanghai.","?"
"3588","Fokker F-27 Friendship 200","10207","August 25, 1989","54   (passengers:49  crew:5)","?","0","Near Gilgit, Pakistan","Pakistan International Airlines","AP-BBF","Gilgit - Islamabad - Chaklala","Crashed into Himalaya Mountains en route from Gilgit to Islamabad.","0745"
"3589","Boeing B-737-241","21006/398","September 03, 1989","13   (passengers:13  crew:0)","254","0","Near Sao Jose do Xingu, Brazil","Varig","PP-VMK","Maraba - Belem","A series of navigation errors led to the aircraft running out of fuel and crashing into the jungle. The crew was working with a filight plan that showed the course in tenths of a degree  instead of in the usual whole degrees. When the flight plan indicated 0270 degrees, the crew should have been flying at 027 degrees. Instead they flew at 270 degrees (west).Therefore, the crew flew in  the wrong direction, even though Belem was north of Maraba and the sun was setting right in front of them. Then they assumed they had overshot Belem and flew straight back east. Then they began following a river which they assumed was the Amazon which would lead them to Belem, but it was the Xingu river. Finally, they  tuned in a radio station and homed in on it assuming it was a Belem station, which it wasn't.","2045"
"3590","Ilyushin IL-62M","3850453","September 03, 1989","126   (passengers:115  crew:11)","9646","45","Near Havana, Cuba","Cubana de Aviacion","CU-T1281","Havana - Köln, Bonn","The aircraft crashed into navigational towers and residential houses shortly after takeoff in heavy rain and high winds. Decision of the pilot in command  to fly after an abrupt deterioration in weather conditions.","1900"
"3591","Convair CV-580","056","September 08, 1989","55   (passengers:50  crew:5)","394","0","Skagerrak, Denmark","Partnair","LN-PAA","Oslo - Hamburg","The aircraft crashed into the sea after an in-flight breakup. Severe vibration caused by worn bolts causing the rudder to jam and the tail to collapse. Bolts used to attach the fin to the fuselage were found to be counterfeit and wore much faster that genuine bolts.  Official PC: The accident was caused by loss of control due to the destruction of primary control surfaces in the tail section, which, in turn, was caused by aeroelastic oscillations initiated by abnormal clearances in the vertical stabilizer attachments to the fuselage structure.
The condition of the attachments was a result of excessive wear in pins and sleeves used in this structural joint. The pins and sleeves were of an inferior quality and did not satisfy specified values for hardness and tensile strength. They had also been installed and inspected using sub-standard maintenance procedures. Undamped oscillations in the elevator contributed to the structural failure of the empennage.""","1636"
"3592","Beech King Air B100","B-049","September 15, 1989","6   (passengers:5  crew:1)","?","0","Mayfield, Kentucky","Wehite Cap Aviation","N887PE","Orlando, FL - Mayfield, KY","Crashed into trees while attempting to land at night, in fog. Improper IFR procedures and failure to maintain minimum descent altitude.","2110"
"3593","de Havilland Canada DHC-6 Twin Otter 300","345","September 15, 1989","22   (passengers:19  crew:3)","?","0","Near Bentuni, Indonesia","Merpati Nusantara Airlines","PK-NUE","Manokwari - Bentuni","Crashed while making an approach to Bintuni.","?"
"3594","McDonnell Douglas DC-10-30","46852/125","September 19, 1989","171   (passengers:156  crew:15)","772","0","Near Bilma, Niger","Union des Transportes Aeriens","N54629","N'Djamena - Paris","While climbing through FL 350, 46 minutes after takeoff, a bomb exploded in a container in location 13-R in the forward cargo hold. The aircraft disintegrated and crashed into the desert. A Congolese man, who boarded at Brazzaville and disembarked at Ndjamena was believed to have brought the bomb aboard.","14:00"
"3595","Military - U.S. Air Force","17552/161","September 20, 1989","2   (passengers:?  crew:?)","?","0","Fairbanks, Alaska","Boeing KC-135E","57-1481","Training","An explosion occurred in an overheated fuel pump while shuting down the engines.","1500"
"3596","Boeing B-737-401","23884/1643","September 20, 1989","2   (passengers:2  crew:0)","5050","0","La Guardia Airport, New York, New York","USAir","N416US","New York City - Charlotte, NC","During an aborted takeoff,  the aircraft overran the runway, hit a wooden approach lighting pier and came to rest partially submerged in shallow water in Bowery Bay. The failure of the captain to exercise his authority in a timely manner to reject or continue the troubled takeoff which was initiated by a mistrimmed rudder.","2321"
"3597","Mil Mi-8 (helicopter)","?","September 21, 1989","26   (passengers:?  crew:?)","?","0","Centeral Afghanistan
Afghanistan","Military - Afghan Republican Air Force","?","?","?","?"
"3598","Mil Mi-17 ( helicopter)","?","September 21, 1989","24   (passengers:?  crew:?)","?","0","Near Baghran, Afghanistan","Military - Afghan Republican Air Force","?","?","?","?"
"3599","Dornier Do-288-201","8052","September 23, 1989","11   (passengers:8  crew:3)","?","0","Ujani Dam, India","Vayudoot","VT-EJF","Pune - Hyderabad","Exploded in mid-air and crashed during a thunderstorm and heavy rain.","2035"
"3600","Swearingen SA.227AC Metro III","AC-481","September 26, 1989","7   (passengers:5  crew:2)","070","0","Terrace,  Canada","Skylink Airlines","C-GSLB","Vancouver - Terrace","The plane struck trees, losing part of a wing after initiating a go-around. The crew continued with the approach beyond the missed approach point without establishing the required visual references.","0828"
"3601","de Havilland Canada DHC-6 Twin Otter 300","439","September 27, 1989","10   (passengers:8  crew:2)","Canyon 5","0","Grand Canyon National Park Airport, Tusayan, Arizona","Grand Canyon Airlines","N75GC","Grand Canyon National Park","The aircraft bounced and came down on its right wing tip while attempting to land. The controls were damaged and after an attempted go-around and reaching a height of 200 ft., the plane rolled to the left and crashed into trees on a hill. Improper pilot techniques and crew coordination during the landing attempt, bounce and attempted go-around.","0953"
"3602","Antonov An-32","1705","September 28, 1989","9   (passengers:4  crew:5)","?","0","Semyonovka ,Ukraine","MAP","CCCP-48095","Mukachevo - 	Moscow","Failure of the autopilot caused the plane to enter a spiral descent. Attempts to pull the plane out caused the aircraft to break-up in midair and crash into a swamp.","2008"
"3603","Boeing KC-135A","17341/31","October 04, 1989","4   (passengers:0  crew:4)","?","0","Perth, Ontario, Canada","Military - U.S. Air Force","56-3592","?","A dry  fuel pump led to the ignition of fuel vapors.","0600"
"3604","Cessna 208 Caravan I","208-00115","October 06, 1989","5   (passengers:3  crew:2)","?","0","Uncertain, Texas","Winchester Air","N208W","Uncertain - Destsin","The aircraft took off, made a left turn and crashed into trees.  Improper planning and decision by the pilot-in-command and failure of the crew to maintain runway alignment and clearance from the high obstructions beside the runway. Contributing factors included weather conditions, dark night, lack of runway edge lights, lack of visual perception by the pilots and trees beside the runway.","2205"
"3605","Agusta A109A MK II","7309","October 10, 1989","5   (passengers:4  crew:1)","?","0","Lacey Township, New Jersey","Air Taxi - Paramount Aviation Corp.","N21FL","New York, NY - Atlantic City, NJ","In-flight separation of a main rotor blade of the helicopter due to fatigue failure of the main rotor blade spar, which originated at a manufacturing induced scratch (tool mark) that was the result of inadequate quality control.","13:39"
"3606","Cessna 402C Utililiner","402C-0638","October 10, 1989","12   (passengers:11  crew:1)","?","0","Urpay, Peru","TAUSA","OB-T-1254","Urpay-Uchiza","Crashed into mountain after takeoff.","?"
"3607","Ilyushin IL-76MD","33448421","October 18, 1989","57   (passengers:50  crew:7)","?","0","Nasosny, Russia","Military - Russian Air Force","CCCP-76569","?","Crashed into the Caspian sea after reporting an engine fire.","?"
"3608","Ilyushin IL-76TD","23440153","October 20, 1989","15   (passengers:10  crew:5)","?","0","Leninakan, Russia","Aeroflot","CCCP-76466","Ul'yanovsk - Leninakan","Descended below minima and struck a mountain. Did not heed GPWS warnings. Incorrectly set altimeter.","0232"
"3609","Boeing B-727-224","19514/597","October 21, 1989","127   (passengers:123  crew:4)","414","0","Near Tegucigalpa, Honduras","TAN","N88705","Managua - Tegucigalpa","The aircraft landed short of the runway in heavy rain and high winds after returning to the airport. The crew did not follow the proper approach procedure.","0753"
"3610","Antonov AN-26","?","October 26, 1989","36   (passengers:30  crew:6)","?","0","Petropavlovsk, USSR","Military - Soviet Air Force","09","?","Crashed while attempting to land in poor weather. Controlled flight into terrain.","?"
"3611","Boeing B-737-209","23795/1319","October 26, 1989","54   (passengers:47  crew:7)","204","0","Hualien, China","China Airlines (Taiwan)","B-180","Hualien - Taipei","The plane hit a 7,000 ft, mountain 10 minutes after taking off. The flight crew used an incorrect departure procedure.","1855"
"3612","de Havilland DHC-6 Twin Otter 300","400","October 28, 1989","20   (passengers:18  crew:2)","1712","0","Halawa Point, Molokai, Hawaii","Aloha Island Air","N707PV","Kahului, Maui - Kaunakakai, Molokai","The aircraft collided with terrain near Halawa Bay, Molokai, Hawaii, while en route on a scheduled passenger flight from the Kahalui Airport, Maui, to Kaunakakai Airport, Molokai. The decision of the captain to continue flight under visual flight rules at night into instrument meteorological conditions, which obscured rising mountainous terrain. The victims included eight members of Molokai High School's volleyball team and staff.","1837"
"3613","Britten-Norman BN-2A Islander","767","November 09, 1989","2   (passengers:1  crew:1)","?","0","Monrovia, Liberia","Weasua Air Ttansport","9L-LAV","Monrovia-Freetown","Crashed on a beach following engine failure.","?"
"3614","Casa 212 Aviocar","389","November 10, 1989","18   (passengers:16  crew:2)","?","0","Maluti Mountains, Lesotho","Military - Royal Lesotho Defence Force","LDF-46","Qacha?s-  Nek-Maseru","Hit a mountain.","?"
